season,team_id,team_name,player_name,player_id,pos_rank,eligible_slots,lineup_slot,acquisition_type,pro_team,on_team_id,position,total_points,avg_points,percent_owned,percent_started,actual_rushingAttempts,actual_rushingYards,actual_rushingYardsPerAttempt,actual_receivingReceptions,actual_receivingYards,actual_receivingTouchdowns,actual_receivingTargets,actual_receivingYardsAfterCatch,actual_receivingYardsPerReception,actual_fumbles,actual_turnovers,actual_defensiveTotalTackles,actual_teamWin,actual_teamLoss,actual_pointsScored,actual_gamesPlayed,actual_rushingTouchdowns,actual_passingAttempts,actual_passingCompletions,actual_passingIncompletions,actual_passingYards,actual_passingTouchdowns,actual_passingInterceptions,actual_passingCompletionPercentage,actual_madeFieldGoals,actual_attemptedFieldGoals,actual_missedFieldGoals,actual_madeExtraPoints,actual_attemptedExtraPoints,actual_missedExtraPoints,actual_defensiveTouchdowns,actual_defensiveInterceptions,actual_defensiveSacks,actual_defensiveForcedFumbles,actual_defensivePointsAllowed,actual_defensiveYardsAllowed,projected_rushingAttempts,projected_rushingYards,projected_rushingTouchdowns,projected_rushingYardsPerAttempt,projected_receivingYards,projected_receivingTouchdowns,projected_receivingReceptions,projected_receivingTargets,projected_receivingYardsPerReception,projected_fumbles,projected_turnovers,projected_gamesPlayed,projected_passingAttempts,projected_passingCompletions,projected_passingIncompletions,projected_passingYards,projected_passingTouchdowns,projected_passingInterceptions,projected_passingCompletionPercentage,projected_madeFieldGoals,projected_attemptedFieldGoals,projected_missedFieldGoals,projected_madeExtraPoints,projected_attemptedExtraPoints,projected_missedExtraPoints,projected_defensiveTouchdowns,projected_defensiveInterceptions,projected_defensiveSacks,projected_defensiveForcedFumbles,projected_defensiveTotalTackles,projected_defensivePointsAllowed,projected_defensiveYardsAllowed,round_num,round_pick,drafted_team_id
2021,1,The Commish,Greg Joseph,3975763,6,K,K,ADD,MIN,1,K,151,8.88,81.08,72.29,,0,,,0,,,,,,,,8,9,135,17,,,,,,,,,33,38,5,36,40,4,,,,,,,,0,,,0,,,,,,,17,,,,,,,,24.7347566,29.54387271,4.80911611,41.43705005,44.00941341,2.57236336,,,,,,,,0,0,-1
2021,1,The Commish,Devonta Freeman,16944,32,"RB, RB/WR",RB/WR/TE,ADD,BAL,1,RB,112.6,7.04,71.4,32.25,133,576.0000003,4.33082707,34,189.9999999,1,42,178,5.58823529,,,1,8,8,36,16,5,,,,,,,,,,,,,,,,,,,,36.06279591,142.76881523762304,1.218844837,3.958894801,38.89238824770441,0.258106313,5.253518269,6.715047306,7.403112782,0.277336465,0.131101207,14.11764706,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,1,The Commish,Van Jefferson,3930066,31,"WR, RB/WR",WR,ADD,LAR,1,WR,118.2,6.95,67.21,25.72,2,20,10,50,802,6,89,216,16.04,,,1,12,5,36,17,,,,,,,,,,,,,,,,,,,,,,0,,,483.4961461355394,3.031312884,38.00007996,60.02365179,12.72355602,0.403747148,0.226098403,16.05882353,,,,,,,,,,,,,,,,,,,,,15,2,6
2021,1,The Commish,49ers D/ST,-16025,7,D/ST,D/ST,ADD,SF,1,D/ST,120,7.06,73.96,57.2,,0,,,0,,,,,,,1115,10,7,,17,,,,,,,,,,,,,,,2,9,48,21,363,5270,,0,,,0,,,,,,,17,,,,,,,,,,,,,,1.596152157,12.46892407,43.40598559,15.58691985,1014.434502,370.3185172,5927.262408,15,1,9
2021,1,The Commish,Tyler Conklin,3915486,19,"TE, RB/WR/TE",BE,ADD,MIN,1,TE,77.3,4.55,40.91,18.36,,0,,61,593.0000003,3,87,327,9.72131148,1,,,8,9,18,17,,,,,,,,,,,,,,,,,,,,,,0,,,470.04305902110946,3.515095147,45.04087291,64.20109411,10.4359225,0.518042877,0.290104011,16.05882353,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,1,The Commish,Austin Hooper,3043275,26,"TE, RB/WR/TE",TE,ADD,CLE,1,TE,54.5,3.41,27.53,7.34,,0,,38,345.0000001,3,61,185,9.07894737,,,2,8,8,20,16,,,,,,,,,,,,,,,,,,,,,,0,,,528.6654115618483,5.026185049,52.99999389,76.10482248,9.974820236,0.30479282,0.170683979,16.05882353,,,,,,,,,,,,,,,,,,,,,13,12,12
2021,2,Flint Michigan De'Andre Lovers,Ezekiel Elliott,3051392,6,"RB, RB/WR",RB,DRAFT,DAL,2,RB,205.06,12.06,99.31,87.34,237,1002,4.2278481,47,287.0000001,2,65,295,6.10638298,1,1,1,12,5,78,17,10,1,1,,0.23529412,,,1,,,,,,,,,,,,,270.8733061,1100.8809178014585,9.811264679,4.06419124,406.9770830164477,2.024713748,54.69042632,72.20964124,7.441468469,3.84193535,1.831829723,15.11764706,,,,,,,,,,,,,,,,,,,,,1,7,2
2021,2,Flint Michigan De'Andre Lovers,D'Andre Swift,4259545,23,"RB, RB/WR",BE,DRAFT,DET,2,RB,146.9,11.3,97.32,55.26,151,617.0000007,4.08609272,62,452,2,78,502,7.29032258,2,1,,1,11,42,13,5,1,,1,,,,,,,,,,,,,,,,,174.3800027,747.4502050615506,5.588887321,4.286329817,496.2209350651202,2.060190462,65.72509266,84.62901743,7.549946527,3.23565214,1.576971006,15.11764706,,,,,,,,,,,,,,,,,,,,,2,6,2
2021,2,Flint Michigan De'Andre Lovers,Brandon Aiyuk,4360438,34,"WR, RB/WR",WR,DRAFT,SF,2,WR,114.3,6.72,85.48,37.65,5,17,3.4,56,826,5,84,349,14.75,2,1,,10,7,32,17,,,,,,,,,,,,,,,,,,,,,9.461883418,59.32478131363898,0.429095713,6.269870246,926.0782458,7.225479467,73.22896281,119.1643927,12.64633842,0.702865749,0.385562293,16.05882353,,,,,,,,,,,,,,,,,,,,,4,6,2
2021,2,Flint Michigan De'Andre Lovers,Odell Beckham Jr.,16733,52,"WR, RB/WR",BE,DRAFT,LAR,2,WR,85.1,6.08,90.51,42.25,2,14,7,44,536.9999998,5,82,151,12.20454545,,,2,8,6,30,14,,,,,,,,,,,,,,,,,,,,,4.529242812,32.34317626813899,0.21520053,7.140967621,889.9912726899986,6.758527367,63.76840622,108.721175,13.95661779,0.663130759,0.450801081,13.67647059,2.770058994,1.680550691,1.089508303,1.274588941,0.139836248,0.085922031,0.60668408,,,,,,,,,,,,,,5,7,2
2021,2,Flint Michigan De'Andre Lovers,Diontae Johnson,3932905,12,"WR, RB/WR",WR,DRAFT,PIT,2,WR,167.4,10.46,98.19,79.67,5,53,10.6,107,1161,8,169,527,10.85046729,2,2,1,9,6,50,16,,,,,,,,,,,,,,,,,,,,,3.991973064,24.86612788294656,0.113671374,6.229031981,996.7778295775394,5.708385927,92.19589351,143.5037738,10.8115209,1.574032167,0.874925491,16.05882353,,,,,,,,,,,,,,,,,,,,,6,6,2
2021,2,Flint Michigan De'Andre Lovers,Michael Carter,4240657,30,"RB, RB/WR",RB,DRAFT,NYJ,2,RB,118.4,8.46,80.16,32.47,147,639.0000006600001,4.34693878,36,325.00000007999995,,55,341,9.02777778,1,1,1,3,11,24,14,4,,,,,,,,,,,,,,,,,,,,137.2676692,573.4986522137914,3.75673399,4.177958696,220.51548192216904,0.870028968,28.64058518,38.75698922,7.6994056,1.360773802,0.649446858,15.11764706,,,,,,,,,,,,,,,,,,,,,9,7,2
2021,2,Flint Michigan De'Andre Lovers,Josh Allen,3918298,1,QB,QB,TRADE,BUF,2,QB,402.58,23.68,99.91,94.59,122,762.9999999,6.25409836,,0,,,,,8,18,2,11,6,256,17,6,646,409,237,259.2352941,36,15,0.63312693,,,,,,,,,,,,,102.9657754,527.7716851613918,7.461669437,5.125700099,0,,,,,11.01418208,17.06880516,16.05882353,610.5532864,396.9067624,213.646524,283.1828664,32.16268667,11.81215932,0.650077186,,,,,,,,,,,,,,4,8,10
2021,2,Flint Michigan De'Andre Lovers,Emmanuel Sanders,13295,50,"WR, RB/WR",BE,ADD,BUF,2,WR,89.7,6.41,46.21,7.29,2,31,15.5,42,625.9999998000001,4,72,85,14.9047619,,,1,8,6,24,14,,,,,,,,,,,,,,,,,,,,,,0,,,545.5833858022904,4.034997276,46.5163048,68.04111595,11.72886342,0.501366214,0.28076508,13.67647059,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,2,Flint Michigan De'Andre Lovers,Dalton Schultz,3117256,3,"TE, RB/WR/TE",TE,ADD,DAL,2,TE,130.8,7.69,90.83,61.1,,0,,78,808.0000001,8,104,348,10.35897436,,,1,12,5,50,17,,,,,,,,,,,,,,,,,,,,,,0,,,391.2821081595282,2.863270091,37.88576408,53.92280536,10.32794554,0.447002626,0.25032147,16.05882353,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,2,Flint Michigan De'Andre Lovers,Tony Pollard,3916148,29,"RB, RB/WR",BE,ADD,DAL,2,RB,123.6,8.24,67.64,18.24,130,718.9999998999999,5.53076923,39,337,,46,341,8.64102564,2,,5,10,5,18,15,2,,,,,,,,,,,,,,,,,,,,98.89025459,427.62164266698744,3.159708667,4.324204083,182.49409550795164,1.212743366,24.62224911,32.3201704,7.411755713,0.667625921,0.320417064,15.11764706,,,,,,,,,,,,,,,,,,,,,12,6,2
2021,2,Flint Michigan De'Andre Lovers,D'Onta Foreman,3125116,49,"RB, RB/WR",RB/WR/TE,ADD,TEN,2,RB,84.9,9.43,70.89,39.49,133,566.0000003,4.2556391,9,123,,11,121,13.66666667,2,1,,6,3,18,9,3,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,2,Flint Michigan De'Andre Lovers,Colts D/ST,-16011,8,D/ST,BE,ADD,IND,2,D/ST,119,7,69.78,46.07,,0,,,0,,,,,,,1103,9,8,,17,,,,,,,,,,,,,,,1,19,33,17,359,5834,,0,,,0,,,,,,,17,,,,,,,,,,,,,,1.590118733,12.96635615,40.92481774,15.21189777,990.950308,375.5286091,5965.872809,15,3,8
2021,2,Flint Michigan De'Andre Lovers,Daniel Carlson,3051909,1,K,K,ADD,LV,2,K,171,10.06,72.58,64.28,,0,,,0,,,,,,,,10,7,150,17,,,,,,,,,40,43,3,30,33,3,,,,,,,,0,,,0,,,,,,,17,,,,,,,,26.33314743,31.54744922,5.214301788,38.9474928,41.47568101,2.528188217,,,,,,,,0,0,-1
2021,2,Flint Michigan De'Andre Lovers,Cowboys D/ST,-16006,1,D/ST,D/ST,ADD,DAL,2,D/ST,163,9.59,78.84,55.04,,0,,,0,,,,,,,1021,12,5,,17,,,,,,,,,,,,,,,6,26,41,13,346,5967,,0,,,0,,,,,,,17,,,,,,,,,,,,,,1.574991172,13.05445989,38.79284412,16.77919466,1070.626936,409.2482463,6396.665146,0,0,-1
2021,2,Flint Michigan De'Andre Lovers,Godwin Igwebuike,3045238,100,"RB, RB/WR",BE,ADD,DET,2,RB,19.8,1.32,3.83,0.93,18,118.0000001,6.55555556,7,59.99999999,,10,64,8.57142857,2,2,7,3,11,6,15,1,,,,,,,,,,,,,,,,,,,,3.790869624,15.638427210488206,0.106160963,4.125287536,0,,,,,0.031092582,0.014302588,15.11764706,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,2,Flint Michigan De'Andre Lovers,Rashaad Penny,3139925,31,"RB, RB/WR",BE,ADD,SEA,2,RB,115.7,11.57,74.71,52.12,119,749.0000003499999,6.29411765,6,48,,8,62,8,,,,6,4,36,10,6,,,,,,,,,,,,,,,,,,,,77.00892743,350.12857998895544,2.517121905,4.54659728,113.59271558068708,0.71396525,14.83926374,19.26797161,7.654875442,0.678733113,0.323183044,13.23529412,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Jonathan Taylor,4242335,1,"RB, RB/WR",RB,DRAFT,IND,3,RB,333.1,19.59,99.88,95.24,332,1811.000001,5.45481928,40,360,2,51,406,9,4,2,,9,8,120,17,18,,,,,,,,,,,,,,,,,,,,272.946347,1220.567033339903,10.34445444,4.471820366,312.7828463181166,1.460808619,41.69330171,55.02278744,7.50199273,1.830949747,0.866499032,15.11764706,,,,,,,,,,,,,,,,,,,,,1,10,3
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Josh Jacobs,4047365,16,"RB, RB/WR",RB/WR/TE,DRAFT,LV,3,RB,172,11.47,97.92,83.6,217,872.0000000599999,4.01843318,54,347.9999998,,64,395,6.44444444,2,2,1,8,7,54,15,9,,,,,,,,,,,,,,,,,,,,262.6064241,1063.5509600678783,9.267645222,4.049980741,259.2308213386589,1.102920458,34.19506739,44.85733483,7.580941964,2.075437677,0.978612846,15.11764706,,,,,,,,,,,,,,,,,,,,,2,3,3
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,David Montgomery,4035538,20,"RB, RB/WR",RB,DRAFT,CHI,3,RB,153,11.77,98.37,87.86,225,848.9999993,3.77333333,42,301.0000001,,51,273,7.16666667,1,2,1,5,8,42,13,7,1,,1,,,1,,,,,,,,,,,,,,257.5824416,1072.1027993561129,6.386724991,4.162173449,356.35791957755197,1.490981222,44.81409608,60.08791998,7.95191582,1.902583637,0.903384089,15.11764706,,,,,,,,,,,,,,,,,,,,,3,10,3
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Chris Godwin,3116165,19,"WR, RB/WR",BE,DRAFT,TB,3,WR,144.4,10.31,70.1,27.99,4,21,5.25,98,1102.9999999200002,5,128,586,11.25510204,2,2,1,10,4,36,14,1,,,,,,,,,,,,,,,,,,,,,0,,,1047.0109960426173,6.918438196,80.26080468,120.1109488,13.04510963,1.0816481,0.605722936,15.58823529,,,,,,,,,,,,,,,,,,,,,4,3,3
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Chase Claypool,4046692,36,"WR, RB/WR",WR,DRAFT,PIT,3,WR,107.6,7.17,85.65,33.75,14,96.00000004,6.85714286,59,860.0000002,2,105,295,14.57627119,,,,9,6,12,15,,,,,,,,,,,,,,,,,,,,,7.983946129,40.82772113391511,0.466981557,5.113727031,945.4148824439224,6.44071275,71.97112479,117.4121785,13.13603039,1.302638399,0.716469955,16.05882353,,,,,,,,,,,,,,,,,,,,,8,3,3
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Dallas Goedert,3121023,8,"TE, RB/WR/TE",TE,DRAFT,PHI,3,TE,109,7.27,87.54,47.25,,0,,56,829.9999999,4,76,386,14.82142857,1,,,9,6,26,15,,,,,,,,,,,,,,,,,,,,,,0,,,701.1953171688342,4.335072997,62.66324974,91.19429075,11.18989711,0.762030301,0.426736968,16.05882353,,,,,,,,,,,,,,,,,,,,,9,10,3
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Nyheim Hines,3916430,56,"RB, RB/WR",BE,DRAFT,IND,3,RB,72.6,4.27,39.55,6.46,56,276.0000001,4.92857143,40,310,1,57,286,7.75,3,2,,9,8,18,17,2,,,,,,,,,,,,,,,,,,,,72.78569253,322.07157836113487,2.479184018,4.424929779,407.9258600001951,2.309977824,53.22677168,71.52962368,7.66392263,0.703000267,0.353074356,15.11764706,,,,,,,,,,,,,,,,,,,,,14,3,3
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Darnell Mooney,4040655,22,"WR, RB/WR",WR,ADD,CHI,3,WR,138.7,8.16,78.49,40.96,6,31.99999998,5.33333333,81,1055,4,140,381,13.02469136,,,5,6,11,30,17,1,,,,,,,,,,,,,,,,,,,,4.093638742,22.117129284478903,0.102185417,5.40280437,731.5046623,3.772027159,60.02039004,97.42077707,12.18760261,0.742238183,0.410914241,15.55882353,,,,,,,,,,,,,,,,,,,,,8,1,12
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Zach Ertz,15835,10,"TE, RB/WR/TE",BE,ADD,ARI,3,TE,106.7,6.28,82.63,50.88,1,4,4,74,762.9999999,5,112,340,10.31081081,,,,7,10,30,17,,,,,,,,,,,,,,,,,,,,,,0,,,489.61468017117096,2.926954849,46.38289251,75.10118062,10.55593245,0.472355652,0.264519165,15.11764706,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Graham Gano,12460,19,K,K,ADD,NYG,3,K,119,7,54.82,42.07,,0,,,0,,,,,,,,4,13,104,17,,,,,,,,,29,33,4,17,17,,,,,,,,,0,,,0,,,,,,,17,,,,,,,,29.66045866,33.90054276,4.2400841,34.67824482,35.41291133,0.734666506,,,,,,,,16,9,11
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Ryan Tannehill,14876,12,QB,BE,ADD,TEN,3,QB,268.36,15.79,59.41,23.54,55,270.0000001,4.90909091,,0,,,,,10,18,3,12,5,168,17,7,531,357,174,219.6470588,21,14,0.67231638,,,,,,,,,,,,,47.221247,209.7334461642111,3.571425263,4.441505879,0,,,,,7.789137865,14.03631307,16.05882353,499.5123431,327.285957,172.2263861,247.8725363,29.05600572,10.31018763,0.65521095,,,,,,,,,,,,,,11,3,8
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Taysom Hill,2468609,32,QB,QB,ADD,NO,3,QB,117.72,9.81,59.33,28.86,70,373.9999998,5.34285714,4,52,,6,50,13,2,5,2,7,5,54,12,5,134,78,56,81.5,4,5,0.58208955,,,,,,,,,,,,,66.26556767,347.7022123332659,3.520577532,5.247102297,95.19981490537484,0.649142411,8.057747383,12.8268745,11.81469341,4.097311552,4.485393329,16.05882353,120.9429235,82.55545593,38.38746756,55.30780387,6.033060405,2.532297615,0.682598482,,,,,,,,,,,,,,13,11,1
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Seahawks D/ST,-16026,24,D/ST,D/ST,ADD,SEA,3,D/ST,62,3.65,32.71,19.1,,0,,,0,,,,,,,1338,7,10,,17,,,,,,,,,,,,,,,,11,34,9,360,6445,,0,,,0,,,,,,,17,,,,,,,,,,,,,,1.605528224,14.46710509,43.14417642,13.72189686,1043.586141,396.4990253,6276.480448,0,0,-1
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Chargers D/ST,-16024,25,D/ST,BE,ADD,LAC,3,D/ST,61,3.59,35.57,21.06,,0,,,0,,,,,,,1169,9,8,,17,,,,,,,,,,,,,,,1,11,35,19,441,6122,,0,,,0,,,,,,,17,,,,,,,,,,,,,,1.535806591,12.61650059,37.77686385,9.072009097,989.1885352,408.3917959,6098.76552,0,0,-1
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Jared Cook,12537,15,"TE, RB/WR/TE",BE,ADD,LAC,3,TE,84.4,5.28,48.39,17.59,,0,,48,564,4,83,238,11.75,,,1,8,8,28,16,,,,,,,,,,,,,,,,,,,,,,0,,,490.9853946041288,4.185966445,39.95064497,61.3661918,12.28979895,0.503241758,0.281815384,15.11764706,,,,,,,,,,,,,,,,,,,,,14,5,5
2021,3,ا وبدأت اوروبا  🗣📠❗️💯,Texans D/ST,-16034,26,D/ST,BE,ADD,HOU,3,D/ST,58,3.41,8.82,4.64,,0,,,0,,,,,,,1197,4,13,,17,,,,,,,,,,,,,,,1,17,32,16,452,6535,,0,,,0,,,,,,,17,,,,,,,,,,,,,,1.607732252,11.51696299,39.21735968,13.20619065,1011.238652,441.8743603,6358.652297,0,0,-1
2021,4,Aaron Jonestown M@ssacre,Aaron Jones,3042519,13,"RB, RB/WR",RB,DRAFT,GB,4,RB,177,11.8,98.83,73.99,171,799,4.67251462,52,391,6,65,412,7.51923077,2,1,,13,2,60,15,4,,,,,,,,,,,,,,,,,,,,200.0074046,977.0028538,8.60382186,4.884833418,431.5438913516955,2.979216715,56.35496481,74.33538269,7.657602002,2.529851844,1.219344422,15.11764706,,,,,,,,,,,,,,,,,,,,,1,9,4
2021,4,Aaron Jonestown M@ssacre,DJ Moore,3915416,18,"WR, RB/WR",BE,DRAFT,CAR,4,WR,144.5,8.5,96.27,62.8,8,48,6,93,1157,4,163,426,12.44086022,1,1,6,5,12,26,17,,,,,,,,,,,,,,,,,,,,,3.642969745,26.705393239234212,0.101302338,7.330665668,1171.6666447478171,4.612130106,77.63564798,133.3173515,15.09186405,0.96186664,0.534334159,16.05882353,,,,,,,,,,,,,,,,,,,,,5,9,4
2021,4,Aaron Jonestown M@ssacre,Justin Herbert,4038941,2,QB,QB,DRAFT,LAC,4,QB,380.76,22.4,98.54,85.28,63,301.9999998,4.79365079,,0,,,,,1,16,1,9,8,248,17,3,672,443,229,294.9411765,38,15,0.65922619,,,,,,,,,,,,,56.21487141,248.0709451895082,4.419891404,4.412906033,0,,,,,8.691391327,15.73221359,16.05882353,597.8169736,391.0296926,206.787281,271.9469296,27.7844374,11.57448129,0.654096002,,,,,,,,,,,,,,6,4,4
